item_code,item,unit,item_group,item_category,2025-12-09,2025-12-10,2025-12-12,2025-12-16,2025-12-19
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,1.0,1.0,1.0,1.0,1.0
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,0.0,1.0,0.0
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,1.0,1.0,0.0,0.0,0.0
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,1.0,0.0,0.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,0.0,1.0,1.0,0.0,0.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,1.0,0.0
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,0.0,1.0,1.0,0.0,0.0
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,1.0,0.0
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,0.0,1.0,1.0,0.0,0.0
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,0.0,1.0,0.0,0.0
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,1.0,1.0,1.0,1.0,0.0
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,1.0,1.0,1.0,1.0,0.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,0.0,1.0,0.0,0.0,0.0
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,0.0,1.0,0.0
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,1.0,0.0,0.0
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,1.0,1.0,1.0,1.0,0.0
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,1.0,1.0,0.0,1.0,0.0
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,1.0,1.0,1.0,0.0,0.0
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,1.0,1.0,1.0,1.0,0.0
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,1.0,1.0,1.0,1.0,0.0
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,0.0,1.0,0.0
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,1.0,0.0
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,0.0,0.0,0.0,1.0,0.0
1556,BAYAM HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
1558,SAWI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
1559,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
1564,BAWANG PUTIH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,0.0,1.0,1.0,1.0,0.0
1819,LENGKUAS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.0,1.0,1.0,0.0,0.0
