item_code,item,unit,item_group,item_category,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,10.0,10.0,10.0,10.0,10.0,10.0
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,21.0,21.0,,,,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.0,,16.0,,16.0,
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,12.0,12.0,,,,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.0,13.0,13.0,13.0,,13.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,18.0,18.0,18.0,18.0,18.0,18.0
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.0,13.0,13.0,13.0,13.0,13.0
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.0,10.0,10.0,,10.0,10.0
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.0,13.0,13.0,13.0,,
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.0,10.0,10.0,10.0,10.0,
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.0,7.0,7.0,7.0,7.0,7.0
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.0,13.0,13.0,13.0,13.0,13.0
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0,5.0,5.5,,5.0,5.0
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0,5.0,5.0,5.0,5.0,5.0
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.0,7.0,7.0,,7.0,7.0
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,4.5,4.5,4.5,4.5,4.5,4.5
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,16.0,16.0,16.0,16.0,16.0,16.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,,15.0,15.0,,,15.0
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,36.0,36.0,,38.0
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,4.5,4.5,4.5,4.5,,4.5
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,,13.8,13.8,13.8,13.8,13.8
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,,,,,4.5,
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,12.0,12.0,12.0,12.0,,12.0
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,5.0,5.0,5.0,5.0,5.0,5.0
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,6.0,6.0,6.0,6.0,6.0,6.0
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.0,7.0,7.0,7.0,7.0,7.0
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,23.0,,
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,23.0,23.0,,,,
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.0,10.0,,10.0,10.0,10.0
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,36.0,36.0,,36.0,
1556,BAYAM HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0,5.0,5.0,5.0,5.0,5.0
1558,SAWI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0,5.0,5.0,5.0,5.0,5.0
1559,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.0,5.0,5.0,5.0,5.0,5.0
1564,BAWANG PUTIH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,12.0,12.0,12.0,12.0,12.0,12.0
1819,LENGKUAS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.0,13.0,13.0,13.0,13.0,13.0
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,20.0,,,,,
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.0,10.0,10.0,9.0,9.0,10.0
